identifiant énoncé exercice,identifiant solution exercice,mots clés séparés par des virgules,Commentaires de l'annotateur
Github1.txt,Github1.py,"fonction, boucle for, méthode range, modulo, condition and, méthode str, méthode append, méthode join, méthode print",
Github2.txt,Github2.py,"mathématiques, module math, méthode fact, prise d'input, condition if, fonction, méthode print",
Github3.txt,Github3.py,"dictionnaires, boucle for, réflexion, prise d'input",
Github4.txt,Github4.py," méthode split, tuples, prise d'input",
Github5.txt,Github5.py,"création de classe, definition de méthodes, chaines, prise d'inputs, développement objet, méthode upper, méthode s",
Github6.txt,Github6.py,"module math, compréhension de listes, boucle for, prise d'input, méthode split, méthode sqrt, méthode float, listes",
Github7.txt,Github7.py,"navigation dans un espace 2D, compréhension de matrices, listes de listes, boucle for, prise d'input, méthode split",
Github8.txt,Github8.py,"tri, prise d'input, compréhension de listes, méthode sort, méthode join, méthode split",
Github9.txt,Github9.py,"listes, méthode upper, méthode append, manipulation de chaine, boucle for, boucle while, key word break, prise d'input",
Github10.txt,Github10.py,"prise d'input, méthode split, méthode set, méthode sorted, méthode joint, méthode list, réflexion, listes, imbrication de méthodes",
Github11.txt,Github11.py,"base 2, listes, méthode join, méthode int, compréhension de listes, méthode split, modulo",
Github12.txt,Github12.py,"nombres comme string, méthode int, méthode str, modulo, listes, boucle for, manipulation de pas, manipulation d'indexes, conditions if",
Github13.txt,Github13.py,"prise d'input, dictionnaires, boucle for, méthode isdigit, méthode isalpha, key word pass, analyse de chaine",
Github14.txt,Github14.py,"analyse de chaine, dictionnaires, prise d'input, key word pass, méthode isupper, méthode is lower",
Github15.txt,Github15.py,"prise d'input, déclaration de type, méthode int, n - uplets",
Github16.txt,Github16.py,"compréhension de listes modulo, méthode split, prise d' input, ",
Github17.txt,Github17.py,"key word pass, prise d'input, application conrète, boucle while True, key word break, condition not, condition elif",
Github18.txt,Github18.py,"module re, méthode search, key word continue, compréhension de listes, condition not, condition elif, ",
Github19.txt,Github19.py,"tri spécifique, tuples, prise d'input, méthode sorted, key de sorted, key word break, module operator, listes, condition not, ",
Github20.txt,Github20.py,"développement objet, classes, key word yield, modulo, méthode reverse",
Github21.txt,Github21.py,"prise d'input, application concrète, module math, méthode sqrt, navigation dans un espace 2D, key word pass, méthode int",
Github22.txt,Github22.py,"dictionnaires, boucle for, prise d'input, déclaration de type, méthode get, méthode sort, analyse de chaines",
Github23.txt,Github23.py,"mathématiques, opérateur **",
Github24.txt,Github24.py,"fonction abs, fonction int, fonction raw_input, création de documentation",raw_input présent
,,"classes, déclration de type, constructeurs, manipulation de champs",
