identifiant source	identifiant exercice	annotation 1	annotation 2
PLATon	2b231b30-e250-4ee7-94dc-578b95db0b73.py	def, list, matrice, random, randint, choice, décalage modulaire aléatoire, symétrie aléatoire, calcul de coordonnées de matrice, manipulation d'éléments de matrice, transformation de matrices, for, for in for, if, elif, else, return, système booléen, matrice, décalage modulaire, slice, compréhension de liste, aléatoire, conditionnel, liste de liste, randint, fonction, modulo, booléen, résolution d'un poblème, algorithme, compréhension de matrices, conditions, module random, navigation dans un espace 2D, compréhention de listes, aléatoire, tuples, listes de listes, modulo, python zip, randint, choice, reflexion, fonctions	
PLATon	4ef1195b-caef-4188-a9c9-7584f2551773.py	def, random, randint, list, for, in range, append, création de liste aléatoire, return, fonction, fonction avec paramètres, paramètre par défaut, aléatoire, liste, initialistation de liste, boucle for, range, module random, aléatoire, listes, boucle for, fonctions	
PLATon	4f8b6bda-a44d-4845-b713-3246a7f3eabe.py	def, random, randint, somme, for, in range, return, obtention d'une somme, fonction, fonction avec paramètres, paramètre par défaut, initialisation de variable, somme, aléatoire, boucle for , somme d'entiers, boucle for, module random, randint, fonctions	
PLATon	8d0e5be3-f15c-4412-b919-ae7a7fa94cf4.py	def, list, append, reprise d'insert, comparaison d'éléments, inversion d'emplacements, triage de liste sans fonction prédéfinie, insertion d'éléments, fonction, fonction avec paramètres, insert, liste triée, boucle for, len, range, échange d'éléments dans une liste, manipulation de listes, append, tri, boucle for, condition if, fonctions	
PLATon	8eaa87b4-90e1-4ca3-aaf9-5731a40a29e1.py	def, append, append obligatoire, list, création de liste, for, for de 1 à n, fonction, fonction avec paramètres, liste, append, initialisation de liste, boucle for, listes, compréhension de listes, fonctions	
PLATon	45ddbc2a-365e-4144-b362-c3a799054bfc.py	def, list, max, for, for in liste, calcul du nombre d'occurences, return, enumeration, fonction, fonction avec paramètres, initialisation de liste, boucle for, multiplication de liste, compteur, méthode max, listes, indexes, boucle for, fonction	
PLATon	50fc0dae-2c21-413f-b95d-af3159698717.py	def, list, tri de liste, tri par pas, random, randint, for, randint à intervalles changeants, return, liste triée dans sa création, tri sans fonctions spéciales, fonction, fonction avec paramètres, paramètre par défaut, conditionnel, initialisation de liste, boucle for, range, append, aléatoire, liste triée, fonctions, listes, tri, module random, aléatoire, randint, initialisation de paramètre, compréhension de listes, boucle for, append, manipulation d'indexes	
PLATon	53c4b41c-0893-4afc-8b2d-d8def0cc3c8c.py	def, list, construction de listes, concaténation de listes, for, in range, liste décroissante, return, fonction, fonction avec paramètres, liste, initialisation de liste, concaténation de liste, boucle for, range, réflexion, fonction, boucle for concaténation de listes, listes	
PLATon	55d8398e-9835-4ae1-82b8-3ee3a448876b.py	def, list, while, pop, if, parité d'un élément, modification d'une liste durant une boucle dépendant de sa taille, modulo, système booléen, suppression de nombre pairs, fonction, fonction avec paramètres, liste, pop, conditionnel, parité, modulo, len, boucle while, décrémentation, incrémentation, fonctions, listes, suppression d'éléments, boucle while, condition, méthode len, modulo, methode pop	
PLATon	66d78aef-d7bd-4ffc-b2c6-421eb46de402.py	def, list, insert, insert obligatoire, création de liste, append interdit, liste décroissante, for, in range, return, fonction, fonction avec paramètres, boucle for, initialisation de liste, insert, range, fonction, méthode insert, listes, boucle for	
PLATon	148d9163-edf2-4007-82b2-61191582bab8.py	def, nombre premier, sortie booléen, if, modulo, for, for ignorant les nombres pairs, identification d'un nombre premier, diviseurs, return, fonction, fonction avec paramètres, conditionnel, boucle for, opérateurs booléens, range, modulo, fonction, mathématiques, nombres premiers, modulo, booleans, comparaisons, conditions or	
PLATon	378cd31d-2348-4a0a-a940-0d521de0a3ed.py	def, list, insertion dans une liste triée, analyse d'une liste, insert, for, break, détermination de l'emplacement du nouvel élément d'une liste, fonction, fonction avec paramètres, boucle for, len, liste, break, conditionnel, liste triée, insert, fonction, méthode insert, listes, boucle for, comparaisons, méthode len, break	
PLATon	877c41a9-2fba-439c-a0ba-5df340504879.py	def, random, randint, produit, for, in range, return, calcul du produit d'entiers aléatoires, fonction, fonction avec paramètres, initialisation de variables, boucle for, aléatoire, produit, range, paramètre par défaut, fonction, listes, module random, aléatoire, randint, boucle for	
PLATon	5601aa3f-8d73-4af5-9ee2-6bea91f9bcbc.py	def, nombre premier, sortie booléen, if, modulo, for, for ignorant les nombres pairs, math, sqrt, optimisation de fonction, identification d'un nombre premier, diviseurs, return, fonction, fonction avec paramètres, conditionnel, boucle for, opérateurs booléens, range, modulo, sqrt, parité, booléen, fonction, module math, méthode sqrt, modulo, boucle for, condition if, comparaisons, manipulation de pas	
PLATon	91949acd-560e-4e6b-8e83-0be3563c5ece.py	def, sum, liste, return, utilisations de fonctions, fonctions sur les listes, fonction, fonction avec paramètres, somme, liste, fonction, somme, listes, méthode sum, réflexion	
PLATon	77081137-2728-4e16-b26e-fdacfb79b020.py	def, matrice, création de matrice aléatoire, matrice carrée, for, append, random, randint, return, fonction, fonction avec paramètres, matrice, aléatoire, liste de liste, boucle for, range, compréhension de liste, initialisation de liste, append, fonction, boucle for, listes de listes, compréhension de listes, module random, aléatoire, randint, append	
PLATon	a1c26e37-cb84-4cb5-9401-84268e72ed59.py	def, list, for in list, parité d'entiers, append, modulo, comparaison de liste, liste écrasé, len, suppression de nombre pairs, fonction, fonction avec paramètres, initialisation de liste, boucle for, conditionnel, modulo, append, len, remplacer une liste, fonction, listes, boucle for, slices, modulo, comparaison, append	
PLATon	a7e10ae3-1878-4929-883f-766a1dc1f55d.py	def, list, construction de listes, concaténation de listes, for, in range, liste croissante, return, fonction, fonction avec paramètres, liste, concaténation de liste, boucle for, range, initialisation de liste, 	DM : Nachnouchi a fait une erreur dans les tags, ses tags sont sans rapport avec l'exercice associé.
PLATon	a59f00f7-4f51-441e-b2b6-72362baab8e3.py	def, random, random random, produit, for, in range, produit de réels aléatoires, return, fonction, fonction avec paramètres, aléatoire, boucle for, range, produit, fonction, module random, aléatoire, random, boucle for	
PLATon	bf864097-0ada-49a4-9b3d-50d2dbb56c84.py	def, nombre premier, sortie booléen, if, modulo, for, math, sqrt, optimisation de fonction, identification d'un nombre premier, diviseurs, return, fonction, fonction avec paramètres, conditionnel, boucle for, opérateurs booléens, range, modulo, sqrt, parité, booléen, fonction, module math, méthode sqrt, modulo, boucle for, condition if, comparaison, manipulation de pas, nombre premier	
PLATon	c56f9d12-6e75-4ad1-acae-c3fba2683aa7.py	def,list, insertion dans une liste triée, append, sort, utilisations de fonctions, fonctions sur les listes, fonction, fonction avec paramètres, liste, append, sort, fonction, listes, append, méthode sort, réflexion	
PLATon	cc16afe9-967b-4429-b61c-c4fbff0bb300.py	def, nombre premier, sortie booléen, if, modulo, for, identification d'un nombre premier, diviseurs, return, fonction, fonction avec paramètres, conditionnel, boucle for, opérateurs booléens, range, modulo, booléen, fonction, modulo, boucle for, condition if, comparaison, manipulation de pas, nombre premier	
PLATon	d119940c-a4df-42e9-8f57-02419210b0db.py	def, list, for, in range, len, parité d'entiers, pop, suppression de nombre pairs, fonction, fonction avec paramètres, liste, boucle for, len, range, modulo, pop, conditionnel, fonction, listes, méthode pop, boucle for, manipulation de pas, modulo, méthode len	
PLATon	ec130a19-d837-4ee0-b7d5-29c2133c5e1a.py	def, list, liste créée en une ligne, modulo, for, fonction d'une ligne, if, modulo, diviseurs, return, fonction, fonction avec paramètres, liste, compréhension de liste, boucle for, modulo, conditionnel, fonction, listes, compréhension, modulo, boucle for	
PLATon	f6af9c9c-bcbf-4eed-bee2-4886022c17f5.py	def, random, randint, division, for, in range, return, division d'entiers aléatoires, division euclidienne, fonction, fonction avec paramètres, paramètre par défaut, aléatoire, liste, initialistation de liste, boucle for, range, division entière, fonction, module random, aléatoire, randint, division avec quotient, boucle for	
PLATon	fd984019-829e-447d-a680-839d58bca9e0.py	def, list, max, for, for in len de list, count, fonction de listes, calcul du nombre d'occurences, return, enumeration, fonction, fonction avec paramètres, liste, initialisation de liste, multiplication de liste, boucle for, count, fonction, listes, méthode max, méthode count, boucle for, réflexion	
